,CtrlFemaleFB1,CtrlFemaleFB2,CtrlFemaleFB3,NitoKDFemaleFB1,NitoKDFemaleFB2,NitoKDFemaleFB3,CtrlMaleFB1,CtrlMaleFB2,CtrlMaleFB3,NitoKDMaleFB1,NitoKDMaleFB2,NitoKDMaleFB3
nito,3580.524931,3602.897349,3515.032092,3365.665665,3235.934654,2816.285163,2338.346045,3025.140368,2814.724549,3022.763273,2550.082992,2773.63273
Nep3,478.2443614,371.3980138,414.1499407,363.627195,281.8569548,287.0099529,511.3243775,446.1221035,572.8344825,417.6478408,221.8716276,318.9501424
tRNA:Pro-CGG-1-1,0,0,0,0,0,0,0,0,0,0,0,0
CG9570,0,0,0,0,0,0,1564.184322,1526.586588,1637.865393,981.9167321,1787.939544,1175.357707
Or19b,91.74951778,116.6930315,154.6509272,0,3.613550703,0,383.682103,311.5646289,220.6135457,152.5451333,47.54392019,102.205018
CG15322,8.028082806,2.24409676,0,13.53031423,0,5.125177731,3.021118921,1.601874699,3.042945458,8.886124273,0,0
Or19a,8.028082806,2.24409676,6.116138365,0,0,0,3.776398652,8.009373493,2.282209094,0,0,0
karr,0,0,3.494936209,3.382578558,0,0,673.7095195,713.6351782,661.0799008,817.5234331,1151.139159,859.9318756
fd19B,4.587475889,4.488193521,6.116138365,0,0,0,33.23230814,45.65342891,34.99387277,4.443062136,2.881449709,7.048621931
CG17003,0,0,0,0,0,0,640.4772114,591.8927011,586.5277371,545.015622,795.2801196,500.4521571
CG12655,52.75597272,58.34651577,24.46455346,57.50383548,32.52195632,30.75106639,51.35902167,15.21780964,14.45399093,29.62041424,44.66247048,21.14586579
CR32821,0,0,0,0,0,0,0,0,0,1.481020712,0,0
CG33217,1372.80216,1309.43046,1985.997501,383.9226663,762.4591983,604.7709723,848.1791372,1100.487918,1595.264156,685.7125897,514.338773,479.3062913
Vps11,759.2272596,748.4062696,657.9217413,460.0306838,431.819309,420.2645739,533.2274896,592.6936385,485.3498006,656.0921755,396.1993349,324.2366088
RpL10,155208.0718,176940.2973,207116.9096,203556.8124,190018.5637,202190.8241,97517.94239,136186.5812,110026.8219,122902.5038,158229.0478,140868.4714
G9a,1948.530384,1586.57641,2076.865842,1818.135975,1942.283503,1593.930274,1482.614111,1701.991867,2232.000494,1288.48802,958.0820281,1330.427389
cin,3204.351909,3310.042722,3984.227278,3622.741635,4188.105264,3685.002789,2348.919961,2475.697347,2564.442285,2403.696616,2329.652089,2387.720679
CG3777,814.2769703,632.8352864,505.8920162,316.2710951,281.8569548,153.7553319,358.0025922,346.8058722,630.6504462,182.1655476,230.5159767,148.0210605
CG12470,16.05616561,17.95277408,8.737340522,6.765157115,0,17.93812206,2811.906436,2730.395424,3094.675531,2028.998376,3525.453718,2320.758771
Or1a,2.293737945,2.24409676,1.747468104,0,0,0,3.021118921,9.611248191,4.564418187,0,0,0
